id,topword1,topword2,topword3,topword4,topword5
8082,ruby,programming,beginners,fast,easy
8319,git,tony,taught,effective,theory
8416,beginners,ios,hard,ipad,never
8420,networking,chris,bryant,route,camp
8746,networking,chris,bryant,camp,switch
8776,chris,bryant,tshoot,camp,troubleshooting
9061,camp,free,chris,tshoot,bgp
10321,c++,programming,lessons,next,program
10620,xml,xslt,xpath,attribute,wc
10629,sql,data,collect,analyze,databases
11152,c#,programming,allow,lessons,program
12975,java,programming,supplemental,found,truly
14038,android,design,publications,magazines,indesign
14346,c#,programming,ten,simplest,in
14828,css,ton,massive,gain,skills
15937,jquery,mobile,way,easy,learning
16167,mysql,verifiable,completion,comes,tutorial
16646,web,programming,python,today,essential
17615,postgresql,relational,databases,started,know
18237,java,programming,swing,programs,gui
18448,css,web,engage,compliant,loading
18652,programming,ios,c,cocoa,opengl
19332,fullstack,web,developer,php,mysql
19387,drupal,views,content,intermediate,next
19603,design,php,mysql,javascript,web
19615,unity,web,beginners,choice,perfect
20570,techniques,proven,fast,ethical,computer
20954,java,transition,scala,developers:,up!
21056,css,cascading,sheets,style,beautiful
21564,jquery,mobile,effectively,made,one
22584,mobile,web,appcelerator,titanium,open
23477,joomla,maintaining,website,corporate,uses
23742,web,java,programming,jsps,tutorial
23939,retain,exams,finally,strategies,ace
24334,css,mobile,beginners,usable,designs
24422,programming,lazarus,pascal,delphi,os
25111,html,web,createjs,content,interactive
25924,selenium,web,mobile,prepares,ide
26194,programming,single,writing,line,without
27868,java,driven,everything,know,tutorial
27970,security,networking,chris,bryant,camp
28295,web,html,css,absolutely,designs
30243,html,programming,touch,websockets,easier
30487,design,fpga,zybo,zynq,vivado
30763,python,programming,design,qt,called
30911,html,javascript,web,apis,developers
32199,analysts,managers,troubleshooting,skill,training
32332,beginners,fix,repair,necessary,optimize
33103,mountain,lion,server,trainer,teaches
33527,cpanel,easier,manage,crash,website
33619,mobile,java,codename,devices,native
34812,html,resume,grid,single,page
34882,html,css,javascript,xml,mp
34978,ltm,walks,balance,balancer,load
35139,blogger,blogs,blog,next,take
35351,ios,android,mobile,impress,family
37684,javascript,ten,simplest,in,steps
37940,sql,disaster,recovery,availability,effective
42219,mmf,multimedia,fusion,flash,right
43817,testing,lear,industry,software,expert.
44689,python,programming,beginners,recently,content
44837,programming,design,stencyl,matter,previous
44873,php,programming,hours,scratch,learn
45006,java,programmers,videos,teach,program
45941,css,indepth,crash,course,udemy.
46674,sql,fictitious,hardware,store,database
47230,constraintsthe,misunderstood,constraints,keys,project
47963,programming,django,python,nontechnical,class
48218,beginners,ruby,programming,required,realworld
48237,manages,connected,definitive,device,follow
48456,ios,hard,ipad,never,days
48631,ruby,rails,metaprogramming,elegant,magic
48756,mobile,android,gamesalad,apple,desktop
49340,java,programming,ultimate,tutorial,updated
49361,android,newbies,content,fun,hours
49372,maximise,chartboost,ecpm,filtering,ads
49807,http,networking,web,spdy,dirty
50274,web,numbers,hex,geared,embrace
51204,api,twilio,facebook,crash,course
52700,ccna,accesslist,cisco,geared,nat
52980,programming,well,interactive,core,language
54132,cloud,veteran,entrepreneur,nontechnical,domains
54257,ios,programming,web,resource,comprehensive
54775,security,fix,unlock,os,mac
55282,information,technology,systems,essentials,introduction
56244,css,web,cascading,sheets,style
56513,web,sqlserver,social,site,stepbystep
56966,agile,cheap,good,approach,training
57659,html,web,javascript,css,createjs
58206,stylesheet,tothepoint,extensible,xslt,transformations
58325,foundation,binary,fits,read,able
58583,stencyl,everyone,video,without,free
58653,cms,php,content,management,skills
58656,codeigniter,couple,first,introduction,basics
58670,mysql,php,life,project,real
59014,programming,coding,nontechnical,entrepreneurs,class
59526,beginners,interact,terminal,unix,os
60288,ios,minimal,ease,iphone,xcode
60311,oracle,data,odi,integrator,tutorials
60344,programming,inspire,creativity,ideas,kids
60430,agile,lean,got,done,communicate
61151,unity,game,little,designed,want
62246,php,programming,web,scales,marketers
